"Date","Month","Mean_Phosphorous","Mean_Total_N","Mean_Dissolved_O2","Mean_pH","Year","Interp_Phosphorous","Interp_pH","Interp_Dissolved_O2","Interp_Total_N","Group"
2016-08-01,"8",0.0509230769230769,0.750846153846154,4.89461538461538,7.97576923076923,"2016",0.0509230769230769,7.97576923076923,4.89461538461538,0.750846153846154,"Pre"
2016-09-01,"9",0.0351111111111111,0.609925925925926,3.73276595744681,7.84083333333333,"2016",0.0351111111111111,7.84083333333333,3.73276595744681,0.609925925925926,"Pre"
2016-10-01,"10",0.0450606060606061,0.534030303030303,4.63181818181818,7.84666666666667,"2016",0.0450606060606061,7.84666666666667,4.63181818181818,0.534030303030303,"Pre"
2016-11-01,"11",0.0318648648648649,0.460675675675676,4.03,7.45243243243243,"2016",0.0318648648648649,7.45243243243243,4.03,0.460675675675676,"Pre"
2016-12-01,"12",0.0335405405405405,0.495648648648649,9.21351351351351,7.97405405405405,"2016",0.0335405405405405,7.97405405405405,9.21351351351351,0.495648648648649,"Pre"
2017-01-01,"1",0.0308421052631579,0.489842105263158,4.22815789473684,8.17868421052632,"2017",0.0308421052631579,8.17868421052632,4.22815789473684,0.489842105263158,"Pre"
2017-02-01,"2",0.0367837837837838,0.545189189189189,38.0432432432432,8.18243243243243,"2017",0.0367837837837838,8.18243243243243,38.0432432432432,0.545189189189189,"Pre"
2017-03-01,"3",0.0367567567567568,0.398972972972973,55.1283783783784,8.31486486486486,"2017",0.0367567567567568,8.31486486486486,55.1283783783784,0.398972972972973,"Pre"
2017-04-01,"4",0.0515454545454545,0.494727272727273,46.1981818181818,8.06454545454545,"2017",0.0515454545454545,8.06454545454545,46.1981818181818,0.494727272727273,"Pre"
2017-05-01,"5",0.032125,0.5094,4.867,8.226,"2017",0.032125,8.226,4.867,0.5094,"Pre"
2017-06-01,"6",0.029925,0.506625,7.62025,7.76625,"2017",0.029925,7.76625,7.62025,0.506625,"Pre"
2017-07-01,"7",0.028825,0.53975,NA,7.99747222222222,"2017",0.028825,7.99747222222222,11.8707613636364,0.53975,"Pre"
2017-08-01,"8",0.0333636363636364,0.428563636363636,16.1212727272727,7.40090909090909,"2017",0.0333636363636364,7.40090909090909,16.1212727272727,0.428563636363636,"Pre"
2017-09-01,"9",0.0263777777777778,0.4946,4.95555555555556,7.94066666666667,"2017",0.0263777777777778,7.94066666666667,4.95555555555556,0.4946,"Pre"
2017-10-01,"10",0.033925,0.478675,6.13575,7.98775,"2017",0.033925,7.98775,6.13575,0.478675,"Pre"
2017-11-01,"11",0.0385128205128205,0.385051282051282,6.36538461538461,8.09820512820513,"2017",0.0385128205128205,8.09820512820513,6.36538461538461,0.385051282051282,"Pre"
2017-12-01,"12",0.037775,0.499375,5.84225,7.92525,"2017",0.037775,7.92525,5.84225,0.499375,"Pre"
2018-01-01,"1",0.036725,0.4903,6.12974358974359,8.00775,"2018",0.036725,8.00775,6.12974358974359,0.4903,"Pre"
2018-02-01,"2",0.0396428571428571,0.429214285714286,5.93571428571429,7.96535714285714,"2018",0.0396428571428571,7.96535714285714,5.93571428571429,0.429214285714286,"Pre"
2018-03-01,"3",0.032825,0.48885,6.36575,7.969,"2018",0.032825,7.969,6.36575,0.48885,"Pre"
2018-04-01,"4",0.031025,0.4371,5.71675,8.101,"2018",0.031025,8.101,5.71675,0.4371,"Pre"
2018-05-01,"5",0.0453875,0.514825,4.752,7.85675,"2018",0.0453875,7.85675,4.752,0.514825,"Pre"
2018-06-01,"6",0.0376,0.4886,5.051,8.05575,"2018",0.0376,8.05575,5.051,0.4886,"Pre"
2018-07-01,"7",0.028975,0.4843,4.82475,8.08075,"2018",0.028975,8.08075,4.82475,0.4843,"Pre"
2018-08-01,"8",0.030390243902439,0.417609756097561,4.57414634146341,8.32829268292683,"2018",0.030390243902439,8.32829268292683,4.57414634146341,0.417609756097561,"Pre"
2018-09-01,"9",0.027390243902439,0.476317073170732,4.48153846153846,8.15692307692308,"2018",0.027390243902439,8.15692307692308,4.48153846153846,0.476317073170732,"Pre"
2018-10-01,"10",0.0377073170731707,0.368365853658537,5.58609756097561,7.8990243902439,"2018",0.0377073170731707,7.8990243902439,5.58609756097561,0.368365853658537,"Pre"
2018-11-01,"11",0.0336829268292683,0.410390243902439,4.72536585365854,8.00682926829268,"2018",0.0336829268292683,8.00682926829268,4.72536585365854,0.410390243902439,"Pre"
2018-12-01,NA,NA,NA,NA,NA,"2018",0.0336219512195122,8.05914634146341,5.21,0.402243902439024,"Pre"
2019-01-01,"1",0.0335609756097561,0.39409756097561,5.69463414634146,8.11146341463415,"2019",0.0335609756097561,8.11146341463415,5.69463414634146,0.39409756097561,"Pre"
2019-02-01,"2",0.038,0.398102564102564,6.08153846153846,7.60785714285714,"2019",0.038,7.60785714285714,6.08153846153846,0.398102564102564,"Pre"
